Year,North_America_excluding_US,US,Central_and_South_America,Europe,CIS,Middle_East,Africa,China,India,Asia_Pacific_excluding_India_and_China,World
1965,322.5,3451.9,307.0,3427.8,1919.0,131.9,198.0,488.5,167.5,849.2,11192.8
1966,336.8,3639.8,322.1,3474.9,2027.5,137.0,205.6,530.3,170.0,928.7,11696.6
1967,352.2,3738.2,333.2,3543.9,2120.8,144.7,206.0,475.9,174.5,1054.2,12059.0
1968,380.5,3947.3,352.6,3757.7,2172.9,152.1,215.8,476.7,182.5,1160.9,12704.8
1969,399.6,4117.4,367.7,4008.3,2253.5,160.9,218.8,582.5,197.5,1281.8,13489.2
1970,429.1,4271.5,391.3,4226.1,2337.3,169.7,233.5,748.5,189.9,1408.1,14297.0
1971,441.0,4309.1,406.9,4293.2,2431.9,182.2,252.3,881.7,206.6,1474.0,14766.1
1972,467.7,4525.8,433.7,4439.0,2550.5,195.8,263.2,945.4,218.6,1548.0,15464.8
1973,501.4,4739.5,473.7,4667.7,2660.5,216.7,284.1,987.0,219.0,1709.6,16335.4
1974,521.0,4567.6,492.1,4544.4,2762.5,229.0,295.6,1006.8,238.6,1715.4,16244.4
1975,529.2,4386.8,491.6,4442.0,2895.6,224.2,312.9,1131.3,253.4,1679.9,16217.4
1976,551.8,4647.6,516.7,4720.9,2990.0,254.5,338.7,1183.1,263.8,1759.2,17086.0
1977,582.9,4791.3,543.6,4723.8,3098.0,289.3,353.6,1293.5,277.6,1830.6,17637.8
1978,589.7,4833.7,559.7,4761.5,3195.7,301.5,364.6,1418.5,276.6,1848.0,17995.5
1979,610.9,4921.1,587.5,4915.5,3258.5,352.1,392.1,1458.5,295.9,1937.0,18564.2
1980,638.7,4742.4,605.9,4800.9,3280.4,340.3,426.9,1460.9,310.3,1949.2,18382.4
1981,631.6,4596.2,600.8,4600.2,3313.0,365.7,482.5,1438.3,339.8,1969.4,18154.9
1982,628.3,4371.1,587.4,4500.2,3376.7,406.0,523.0,1502.0,341.8,1944.3,17992.0
1983,605.8,4332.1,576.2,4466.8,3414.8,448.0,544.5,1596.7,364.6,1979.4,18132.3
1984,635.0,4558.8,587.9,4489.4,3474.6,503.3,561.6,1722.0,386.0,2115.1,18830.9
1985,637.4,4576.0,591.1,5397.6,2751.9,532.7,580.9,1821.7,409.0,2127.7,19217.3
1986,623.8,4598.2,617.7,5453.9,2816.0,541.2,588.2,1903.6,437.9,2178.6,19542.0
1987,646.7,4749.9,635.0,5509.9,2880.1,574.6,610.4,2048.1,474.8,2232.9,20149.7
1988,678.3,4969.1,652.1,5458.7,2915.4,604.3,648.7,2196.8,511.8,2401.5,20815.9
1989,711.3,5058.1,666.9,5445.0,2909.0,636.2,639.2,2295.0,559.0,2499.1,21194.8
1990,712.5,4970.5,653.1,5462.9,2846.5,673.2,659.9,2308.8,602.1,2646.6,21306.3
1991,705.1,4922.6,661.5,5329.9,2759.2,705.3,652.3,2440.0,634.9,2730.6,21315.4
1992,721.9,5004.9,702.5,5074.0,2626.8,760.0,669.9,2562.8,671.9,2815.5,21394.3
1993,722.4,5117.6,718.6,4909.8,2390.6,781.7,674.5,2769.6,694.0,2893.6,21456.9
1994,760.8,5195.4,763.2,4744.0,2173.6,872.5,696.6,2921.4,724.8,3044.6,21675.6
1995,766.3,5227.9,797.0,4806.8,2024.6,895.7,720.8,3009.2,773.4,3175.4,21976.4
1996,786.9,5407.6,824.5,4890.1,1958.2,916.9,738.4,3156.7,812.5,3296.1,22574.9
