Year,North_America_excluding_US,US,Central_and_South_America,Europe,CIS,Middle_East,Africa,China,India,Asia_Pacific_excluding_India_and_China
1990,796.2,5275.4,850.5,5686.5,3479.7,977.6,954,2547.8,677.2,2607.6
1991,790.7,5225.9,869.2,5540.7,3361.9,1022.9,973.5,2696.6,714.2,2711.2
1992,810.1,5308.4,909.8,5280.8,3177.4,1066.2,988.1,2844.4,744.4,2815.5
1993,813.7,5412.1,932.5,5107,2914,1104.3,1002.2,3079.1,767,2908.9
1994,856.2,5505.4,982.6,4945.1,2656,1187.3,1037.1,3265.2,799.7,3062.4
1995,863.2,5543.2,1033.7,5013,2496.9,1212.5,1078.9,3398.1,855.3,3201.9
1996,892.7,5723.7,1082.3,5094.8,2422,1236.9,1111.7,3558.7,897.6,3339.7
1997,929.8,5802,1148.2,5033.9,2275.4,1306.7,1118.5,3549.9,946.1,3464.6
1998,966.4,5841.4,1188.2,5049.5,2260.8,1344.6,1120,3554.6,986.8,3353.3
1999,960.5,5880.2,1170.5,4965.4,2280.9,1377.4,1132.7,3697.9,1011.4,3495
2000,1003.2,6048.6,1187.9,5000.1,2295.2,1449.8,1153.7,3785.3,1055.5,3639.7
2001,1002.4,5960,1204.1,5045.5,2338.8,1493.6,1163.3,3988.2,1065.6,3735.6
2002,1034.9,5979.3,1197.4,5042.8,2366.3,1533.8,1173.4,4344.9,1111.6,3816.2
2003,1049.7,6042.1,1196,5178.2,2440.6,1615.3,1239.6,5121,1155.7,3965.2
2004,1065,6146.7,1263.4,5200.4,2496,1722.1,1331.9,6024.9,1224.8,4070.3
2005,1092.8,6183,1297.3,5201.9,2506.5,1781.5,1353.8,6862,1318.7,4188
2006,1102.2,6110.1,1340.8,5280.1,2589.9,1862.4,1378.3,7535.8,1377.5,4251.9
2007,1136.7,6205.7,1401.8,5243.7,2618.1,1942.1,1413.7,8174.8,1494.7,4381.1
2008,1135.7,6028.6,1439.4,5152.1,2660.5,2080.5,1478.6,8337,1601.8,4453.4
2009,1095.4,5601.8,1390.4,4763.2,2495.9,2097.5,1476.9,8754.9,1750.9,4286.7
2010,1112,5815.4,1470.2,4876.3,2583.1,2213.6,1519.9,9294.4,1813.1,4556.1
2011,1136.9,5688.3,1532.8,4800.6,2713.9,2298.2,1468.7,10083.2,1900.8,4679.6
2012,1140.1,5458.7,1603.4,4730.3,2743.9,2376.2,1549.8,10273.7,2044.2,4827.2
2013,1160.7,5633,1666.1,4622.4,2724.9,2453.5,1562.6,10569.4,2126.6,4822.4
2014,1158.1,5670.5,1689.2,4389,2723.4,2519,1584.2,10645.6,2294.9,4873.1
2015,1160.4,5561.8,1666.3,4400.1,2685,2574.5,1598.1,10547.9,2355.2,4967.5
2016,1145.4,5435.8,1609.4,4453.1,2707.5,2694.3,1629.6,10531.6,2456.7,5063.7
2017,1167.7,5394,1569.8,4478.9,2721.7,2717.2,1671.3,10767,2529.3,5177.6
2018,1174.2,5593.6,1515.3,4452.8,2859.1,2766.9,1695.4,11056.4,2673,5317.4
2019,1150.8,5489.6,1486.9,4267,2863.8,2734.5,1742.6,11311.1,2702.3,5404.2
2020,1007,4883.7,1321.2,3802,2714.2,2636.1,1594.8,11461.2,2494.3,5049.3
2021,1039.4,5167.9,1445.6,3990.2,2912.2,2737.5,1705.1,12039.8,2797.2,5141.8
