Year,North_America_excluding_US,US,Central_and_South_America,Europe,CIS,Middle_East,Africa,China,India,Asia_Pacific_excluding_India_and_China
1965,278.7,260.3,399.8,2914.2,108.2,948.0,111.8,7.6,4.5,511.4
1966,291.1,271.9,414.5,2993.0,113.7,908.0,114.5,8.1,4.5,545.5
1967,298.2,278.6,426.7,3059.4,118.2,986.6,113.5,7.1,4.6,588.3
1968,312.2,292.5,436.9,3279.0,121.4,1150.9,117.8,7.0,4.8,638.0
1969,326.1,304.8,443.7,3464.6,125.6,1226.3,118.2,8.2,5.2,658.3
1970,343.0,312.8,463.8,3670.8,130.9,1158.3,124.3,10.3,5.0,709.5
1971,348.2,316.6,469.9,3741.3,136.1,1214.8,127.2,11.9,5.0,716.1
1972,369.2,329.4,537.8,3906.6,141.8,1221.2,133.0,12.5,5.2,769.9
1973,394.1,340.3,549.6,4125.5,147.7,1316.9,144.0,12.9,5.2,795.0
1974,402.4,329.0,545.2,4045.1,154.4,1179.9,148.3,13.0,5.3,794.2
1975,393.3,317.5,496.8,3952.6,160.7,1221.7,156.0,14.3,5.6,785.9
1976,406.7,331.8,526.9,4115.5,165.5,1089.1,166.9,14.8,5.8,838.2
1977,424.5,337.1,546.3,4147.8,171.5,1272.5,173.4,15.9,6.0,862.5
1978,431.2,341.4,550.4,4324.4,177.4,1266.1,182.5,17.2,6.0,892.1
1979,441.7,341.8,540.7,4455.8,180.7,1865.2,200.9,17.4,6.2,925.5
1980,448.0,325.6,548.8,4332.5,183.2,1830.9,211.2,17.4,6.3,919.9
1981,445.4,313.0,552.4,4199.7,185.4,1809.0,231.4,16.9,6.8,938.2
1982,430.7,297.4,567.5,4115.5,188.4,1858.5,240.6,17.4,6.6,934.6
1983,423.0,293.6,552.0,4131.9,190.7,1788.3,243.7,18.3,6.7,954.5
1984,443.7,305.8,552.1,4242.7,196.1,1938.2,244.5,19.3,7.0,990.1
1985,453.3,302.1,557.9,5171.5,1035.9,1884.3,248.8,20.6,7.3,1000.5
1986,449.4,302.1,579.8,5204.0,1092.1,1990.0,249.1,21.2,7.6,1056.8
1987,457.2,309.3,576.9,5277.4,1092.5,1951.0,252.8,22.4,7.9,1088.7
1988,466.9,320.4,600.9,5311.4,1102.2,2000.8,262.8,23.6,8.4,1168.4
1989,467.1,325.0,598.0,5365.1,1087.4,2068.4,258.1,24.4,9.0,1209.3
1990,447.8,322.8,618.0,5664.7,1054.4,1975.5,264.9,24.3,9.5,1307.2
1991,445.6,319.3,622.3,5549.9,1024.8,2090.0,257.8,25.2,9.8,1332.8
1992,451.2,320.9,645.1,5294.4,944.5,2490.4,256.0,26.2,10.1,1386.1
1993,455.9,324.4,662.6,5223.7,834.4,2589.8,250.6,27.9,10.2,1438.9
1994,468.8,327.0,698.2,5170.9,764.5,2701.2,256.9,29.4,10.5,1505.7
1995,472.7,330.5,728.1,5206.0,693.8,2773.6,263.3,30.0,11.1,1564.4
1996,480.7,337.6,768.5,5321.8,702.6,2457.2,262.6,31.4,11.3,1592.2
1997,478.8,335.9,790.7,5319.3,642.0,2522.2,263.6,31.3,11.7,1638.2
1998,470.4,333.8,803.8,5406.3,656.2,2588.9,264.8,31.1,12.2,1613.3
1999,479.6,335.6,827.0,5385.7,651.6,2623.5,267.9,32.0,12.3,1635.3
2000,487.4,338.8,845.6,5509.4,633.3,2522.3,269.7,32.9,12.7,1693.1
2001,472.4,327.5,863.6,5594.2,665.4,2441.0,272.6,34.5,12.5,1767.8
2002,482.9,329.2,891.2,5606.5,650.7,2523.8,269.6,37.4,12.7,1780.8
2003,480.7,327.4,931.7,5661.6,697.7,2656.8,279.4,43.3,12.9,1778.7
2004,485.6,330.8,989.6,5760.0,723.3,2785.3,295.7,50.3,13.8,1871.5
2005,487.4,327.9,1030.8,5812.2,730.8,2827.8,293.6,56.8,14.4,1884.1
2006,481.9,322.2,1131.5,5806.0,746.6,2644.6,295.5,61.9,15.0,1934.0
2007,492.9,323.5,1163.1,5861.4,751.1,2519.2,297.8,66.9,16.0,1976.5
2008,483.7,312.7,1151.9,5931.8,727.8,2547.8,311.5,69.1,16.7,1967.5
2009,461.2,294.7,1130.9,5578.4,747.6,2378.4,315.2,71.8,17.7,1967.2
2010,461.7,302.1,1183.7,5713.4,780.3,2466.4,315.1,76.4,18.3,2051.7
2011,474.9,297.1,1186.6,5546.7,826.3,2521.3,297.9,81.9,19.1,2073.3
2012,471.3,287.0,1184.8,5494.5,853.4,2581.8,311.0,84.8,20.0,2061.2
2013,476.1,292.6,1196.2,5412.0,808.1,2599.4,315.2,87.5,20.5,2074.8
2014,472.0,293.3,1181.4,5257.3,813.8,2583.7,317.5,89.5,21.6,2090.6
2015,470.7,288.2,1160.8,5267.9,821.1,2701.1,315.0,90.2,22.0,2133.1
2016,460.6,285.7,1086.3,5324.1,817.1,2646.1,317.5,91.3,22.7,2165.6
2017,462.4,284.8,1115.6,5400.3,819.6,2599.9,316.5,94.0,23.4,2200.2
2018,459.2,293.5,1072.0,5428.4,875.4,2583.6,314.3,97.2,24.6,2212.1
2019,448.4,289.8,1039.9,5291.2,886.5,2586.5,316.7,100.3,25.0,2187.7
2020,413.2,267.1,923.1,4926.9,837.7,2432.4,289.6,102.5,23.3,2044.8
2021,416.4,279.9,960.3,5107.9,903.8,2549.3,304.0,109.1,25.4,2084.3
